source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,The rally in Lowell Massachusetts was amazing. 10000 people going wild. MAKE AMERICA GREAT AGAIN!,01/05/2016 02:20,2004,6020,FALSE,6.84E+17
Twitter Web Client,Wow @UnionLeader circulation in NH has dropped from 75000 to around 10—bad management. No wonder they begged me for ads.,01/05/2016 16:53,1192,3594,FALSE,6.84E+17
Twitter Web Client,I don’t know @SamuelLJackson to best of my knowledge haven't played golf w/him &amp; think he does too many TV commercials—boring. Not a fan.,01/05/2016 17:42,3045,6349,FALSE,6.84E+17
Twitter for iPhone,I am in New Hampshire. Just received great news from Reuters poll. Thank you for your support! https://t.co/yzp9dGfbce,01/06/2016 00:28,4483,11930,FALSE,6.85E+17
Twitter for Android,Germany is going through massive attacks to its people  by the migrants allowed to enter the country. New Years Eve was a disaster. THINK!,01/06/2016 14:25,7796,13312,FALSE,6.85E+17
Twitter for iPhone,HAPPY BIRTHDAY to my son @EricTrump! Very proud of you!https://t.co/ZHMKIqnUwL https://t.co/IJzW2NDJyA,01/06/2016 15:01,1732,7517,FALSE,6.85E+17
Twitter Web Client,I don’t cheat at golf but @SamuelLJackson cheats—with his game he has no choice—and stop doing commercials!,01/06/2016 19:22,2341,5261,FALSE,6.85E+17
Twitter Web Client,Don’t like @SamuelLJackson’s golf swing.  Not athletic. I’ve won many club championships. Play him for charity!,01/06/2016 19:22,2942,5736,FALSE,6.85E+17
Twitter for iPhone,Huge crowd expected tomorrow night! VT Police say first come first serve. Arrive early!,01/06/2016 20:22,1489,4322,FALSE,6.85E+17
Twitter Web Client,I will be on @wolfblitzer for a @CNNSitRoom interview today. Please join us 5PM ET.,01/06/2016 21:09,862,2947,FALSE,6.85E+17
Twitter for iPhone,Do you believe that @UnionLeader in NH was demanding ads? Look at enclosed letter from them just received: https://t.co/NucdHBZAH9,01/06/2016 23:15,1208,3335,FALSE,6.85E+17
Twitter for Android,The failing @UnionLeader newspaper in N.H. just sent The Trump Organization a letter asking that we take ads. How stupid how desperate!,01/07/2016 11:06,1035,3278,FALSE,6.85E+17
Twitter for Android,.@Macys was one of the worst performing stocks on the S&amp;P last year plunging 46%. Very disloyal company. Another win for Trump! Boycott.,01/07/2016 11:15,2026,5845,FALSE,6.85E+17
Twitter for Android,It was a very wise move that Ted Cruz renounced his Canadian citizenship 18 months ago. Senator John McCain is certainly no friend of Ted!,01/07/2016 11:28,1564,4607,FALSE,6.85E+17
Twitter for Android,I will be in beautiful Burlington Vermont tonight for a rally. Will be great fun. MAKE AMERICA GREAT AGAIN!,01/07/2016 13:17,1471,4691,FALSE,6.85E+17
Twitter for Android,Man shot inside Paris police station. Just announced that terror threat is at highest level. Germany is a total mess-big crime. GET SMART!,01/07/2016 13:24,12592,15064,FALSE,6.85E+17
Twitter Web Client,Massive crowd in VT tonight. Venue not big enough. Officials say NO to outside event and sound system. Arrive early!,01/07/2016 16:05,1367,4216,FALSE,6.85E+17
Twitter Web Client,.@SenTedCruz Ted--free legal advice on how to pre-empt the Dems on citizen issue. Go to court now &amp; seek Declaratory Judgment--you will win!,01/07/2016 16:14,1407,3716,FALSE,6.85E+17
Twitter Web Client,I have an idea for @JebBush whose campaign is a disaster. Try using your last name and don't be ashamed of it!,01/07/2016 16:26,1818,5227,FALSE,6.85E+17
Twitter Web Client,Weak &amp; ineffective @JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!,01/07/2016 16:30,1359,4559,FALSE,6.85E+17
Twitter Web Client,Hillary and her friends! https://t.co/q45tTapqMI,01/07/2016 17:24,2303,4527,FALSE,6.85E+17
Twitter Web Client,"RT @JoeNBC: Explosive Trump attack on HRC Bill Monica Cosby and Weiner. Trump camp just upped the ante on ""women's rights"" https://t.co…",01/07/2016 18:08,1150,0,TRUE,6.85E+17
Twitter Web Client,The @TheView @ABC once great when headed by @BarbaraJWalters is now in total freefall. Whoopi Goldberg is terrible. Very sad!,01/07/2016 21:06,1874,6351,FALSE,6.85E+17
Twitter Web Client,Joy Behar who was fired from her last show for lack of ratings is even worse on @TheView. We love Barbara!,01/07/2016 21:06,1402,5043,FALSE,6.85E+17
Twitter Web Client,I'm leaving now for Burlington Vermont. It will be wild!,01/07/2016 21:11,1425,5636,FALSE,6.85E+17
Twitter for iPhone,We could only get a small fraction of this 25k crowd in. The movement to Make America Great Again is unbelievable! https://t.co/NHPdGm57YJ,01/08/2016 02:23,4424,10768,FALSE,6.85E+17
Twitter for Android,Great time in Burlington Vermont. Crowd was amazing.,01/08/2016 03:08,1188,4748,FALSE,6.85E+17
Twitter for Android,Hank Greenberg formerly of AIG gave $10 million to the @JebBush campaign 3 months ago. He is not happy a total waste of money!,01/08/2016 15:57,1968,5390,FALSE,6.85E+17
Twitter Web Client,Not good news for Jeb Bush  https://t.co/5CrP5zdXsz,01/08/2016 18:47,1790,4572,FALSE,6.86E+17
Twitter for iPhone,On my way to South Carolina. Big Crowd--- look forward to it!,01/08/2016 21:20,1279,5023,FALSE,6.86E+17
Twitter for iPhone,I hope all workers demand that their @Teamsters reps endorse Donald J. Trump. Nobody knows jobs like I do! Don’t let them sell you out!,01/08/2016 22:03,2162,5933,FALSE,6.86E+17
Twitter for iPhone,Love seeing union &amp; non-union members alike are defecting to Trump. I will create jobs like no one else. Their #Dem leaders can’t compete!,01/08/2016 22:09,2627,7185,FALSE,6.86E+17
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/3HmclWL9GT,01/08/2016 22:36,2558,6235,FALSE,6.86E+17
Twitter for iPhone,#FoxNews Poll - THANK YOU!#MakeAmericaGreatAgain #Trump2016 https://t.co/dKuyzLRTZ3,01/08/2016 23:12,2423,5718,FALSE,6.86E+17
Twitter for Android,Will be at venue in wonderful South Carolina very soon. Big traffic back-up tremendous crowd! Will be wild.,01/08/2016 23:39,1230,4721,FALSE,6.86E+17
Twitter for iPhone,Great even in SC tonight! Fire Marshall would not let everyone in-- 5000 turned away. Thank you for coming!,01/09/2016 02:08,1913,6343,FALSE,6.86E+17
Twitter for Android,Pat Buchanan gave a fantastic interview this morning on @CNN - way to go Pat way ahead of your time!,01/09/2016 14:22,1368,4034,FALSE,6.86E+17
Twitter for Android,South Carolina rally last night was so unbelievably exciting (and fun). I am now off to Iowa for two big rallies - packed houses. Love it!,01/09/2016 14:26,1922,6775,FALSE,6.86E+17
Twitter for Android,"Constitutional law expert  #Laurence Tribe of Harvard says ""wrong to say it (natural born citizen) is a settled matter-it isn't settled).",01/09/2016 15:41,1217,3253,FALSE,6.86E+17
Twitter for iPhone,Thank you @TheFix- Chris Cillizza. It is a true person of character that can change his opinion &amp; do what is right. https://t.co/0VxlT9iEbr,01/09/2016 16:05,1070,2749,FALSE,6.86E+17
Twitter for iPhone,.@JonahNRO watched on @seanhannity and appreciate your statements --- I have been waiting for them for a long time. Thank you.,01/09/2016 16:06,798,2823,FALSE,6.86E+17
Twitter for iPhone,Thank you so much. Earnest must have been a great person. https://t.co/2DZp7YOadj https://t.co/2YtLlEwceB,01/09/2016 17:19,1102,3791,FALSE,6.86E+17
Twitter for iPhone,(1/2) Time Magazine has me on the cover this week. David Von Drehle has written one of the best stories I have ever had.,01/09/2016 17:56,1498,4372,FALSE,6.86E+17
Twitter for iPhone,(2/2) David brilliantly tells it like it is -- the real deal! Read it! https://t.co/9n5CCrefKn,01/09/2016 17:56,1023,2853,FALSE,6.86E+17
Twitter for iPhone,I'm protesting the @UnionLeader from having anything to do w/ ABC debate. Their unethical record doesn't give them the right to be involved!,01/09/2016 18:01,1885,5350,FALSE,6.86E+17
Twitter for iPhone,I will be interviewed by Chris Wallace on Fox tomorrow morning. Tune in!,01/10/2016 00:12,1244,4483,FALSE,6.86E+17
Twitter for iPhone,Will be on Meet the Press with @ChuckTodd tomorrow morning. Enjoy!,01/10/2016 00:12,1107,3926,FALSE,6.86E+17
Twitter for iPhone,I want to thank the people of Iowa for an unbelievable day. The crowds were amazing. Will be back Tuesday!,01/10/2016 00:13,1903,6698,FALSE,6.86E+17
Twitter for Android,Yesterday in Iowa was amazing - two speeches in front of two great sold out crowds. They love that I am the only candidate self-funding!,01/10/2016 18:23,1732,6308,FALSE,6.86E+17
Twitter for Android,In the just out @FoxNews Poll I easily beat Hillary Clinton - and I havn't even focused on her yet. On our way: MAKE AMERICA GREAT AGAIN!,01/10/2016 18:28,3108,8432,FALSE,6.86E+17
Twitter for Android,Heading now for Reno Nevada for a big rally. Good poll numberd all over!,01/10/2016 18:31,1233,4806,FALSE,6.86E+17
Twitter for iPhone,Remember get TIME magazine! I am on the cover. Take it out in 4 years and read it again! Just watch...,01/10/2016 20:15,2508,6985,FALSE,6.86E+17
Twitter for iPhone,I am pleased to announce that I had the Union Leader removed from the upcoming debate. https://t.co/DL8hDPzHoi,01/10/2016 21:05,2053,5137,FALSE,6.86E+17
Twitter for iPhone,If their highly unethical behavior including begging me for ads isn’t questionable enough they have endorsed a candidate who can’t win.,01/10/2016 21:06,1051,3641,FALSE,6.86E+17
Twitter for iPhone,This is really unfair and a conflict for all the other candidates. I said it should not be allowed and ABC agreed.,01/10/2016 21:06,1027,3716,FALSE,6.86E+17
Twitter for iPhone,UL has lost all credibility under Joe McQuaid w circulation dropping to record lows. They aren't worthy of representing the great people NH.,01/10/2016 21:06,1032,3510,FALSE,6.86E+17
Twitter for iPhone,Union Leader refuses to comment as to why they were kicked out of the ABC News debate like a dog. For starters try getting a new publisher!,01/10/2016 23:23,1480,4757,FALSE,6.86E+17
Twitter for iPhone,Thank you to our law enforcement officers! #LESM #Trump2016 https://t.co/sfuuVrx33E,01/11/2016 00:02,3766,9810,FALSE,6.86E+17
Twitter for iPhone,Why does @ThisWeekABC w/ @GStephanopoulos allow a hater &amp; racist like @tavissmiley to waste good airtime? @ABC can do much better than him!,01/11/2016 14:16,1060,3276,FALSE,6.87E+17
Twitter for iPhone,Congratulations to my friend @TheSlyStallone on winning a #GoldenGlobe. A wonderful guy- who has created something special- well deserved!,01/11/2016 14:18,1705,6136,FALSE,6.87E+17
Twitter for iPhone,Great job on Fox this morning @KatiePavlich. I am sending out for your book immediately. Thank you very much!,01/11/2016 14:41,973,3370,FALSE,6.87E+17
Twitter for iPhone,So professional of @ABC news to throw out the failing @UnionLeader newspaper from their debate. Paper won't survive highly unethical!,01/11/2016 15:09,1048,3648,FALSE,6.87E+17
Twitter for iPhone,Just arrived in New Hampshire. Thank you to all of my supporters!#MakeAmericaGreatAgain #Trump2016 https://t.co/KSguIhkIwa,01/11/2016 15:40,2371,6785,FALSE,6.87E+17
Twitter for iPhone,Congratulations to @jdickerson of Face the Nation on his highest ratings in 15 years. 4.6 million people watched my interview! Thank you!,01/11/2016 19:10,1292,4481,FALSE,6.87E+17
Twitter for iPhone,.@RinglingBros is retiring their elephants-- the circus will never be the same.,01/11/2016 19:10,1347,3736,FALSE,6.87E+17
Twitter for iPhone,New Iowa poll. Thank you!#MakeAmericaGreatAgain #Trump2016 https://t.co/19sshZ8dSu,01/11/2016 19:43,2194,5227,FALSE,6.87E+17
Twitter Web Client,.@megynkelly recently said that she can’t be wooed by Trump. She is so average in every way who the hell wants to woo her!,01/11/2016 20:20,4300,10573,FALSE,6.87E+17
Twitter for iPhone,Will be on @FallonTonight with @JimmyFallon on @NBC at 11:35pmE. Enjoy! #Trump2016 https://t.co/Z9zbKfXJqb,01/11/2016 22:55,2113,6347,FALSE,6.87E+17
Twitter for Android,Thank you Michael Harrison @Talkersmagazine for your kind words - greatly appreciated!,01/12/2016 01:46,695,2641,FALSE,6.87E+17
Twitter for Android,.@MajorCBS Major Garrett of @CBSNews covers me very inaccurately. Total agenda bad reporter!,01/12/2016 01:49,1048,3413,FALSE,6.87E+17
Twitter for Android,Face The Nation's interview of me was the highest rated show that they have had in 15 years. Congratulations and WOW!  @CBSNews @jdickerson,01/12/2016 02:42,1485,5234,FALSE,6.87E+17
Twitter for Android,Don't forget to watch The Tonight Show with the wonderful @jimmyfallon at 11:30 P.M. You will not be disappointed!  @NBC,01/12/2016 02:49,1112,4016,FALSE,6.87E+17
Twitter for Android,Fantastic job on @CNN  tonight. @kayleighmcenany is a winner! @donlemon,01/12/2016 03:34,688,2665,FALSE,6.87E+17
Twitter for Android,.@stuartpstevens horrible advise to Mitt Romney made victory an impossibility. Don't blame Mitt! Now Stevens can't get a job!,01/12/2016 04:19,814,2974,FALSE,6.87E+17
Twitter for Android,The Tonight Show begins in 5 minutes. Enjoy!,01/12/2016 04:22,780,3910,FALSE,6.87E+17
Twitter for iPhone,THANK YOU! #Trump2016 https://t.co/QmDcCKppEu,01/12/2016 15:06,3095,7633,FALSE,6.87E+17
Twitter Web Client,On my way to Cedar Falls Iowa now. Will be great--I love the people of Iowa!,01/12/2016 19:40,1584,5719,FALSE,6.87E+17
Twitter for iPhone,Such a serious problem for Ted &amp; the GOP. Great doubt Dems will sue! Let's all work together to solve this problem. https://t.co/cNl6dmFb6q,01/12/2016 20:28,1357,3431,FALSE,6.87E+17
Twitter for iPhone,Another new Iowa poll just released. Thank you! #IACaucus #FITN https://t.co/RGkrruqpM7,01/12/2016 21:44,2535,7012,FALSE,6.87E+17
Twitter for iPhone,New CBS poll. #Trump2016https://t.co/sFPRHHeLbd,01-13-2016 02:56:14,1267,3977,FALSE,6.87E+17
Twitter for iPhone,The Iran deal is terrible. Why didn't we get the uranium stockpile - it was sent to Russia. #SOTU,01-13-2016 02:59:41,2673,7185,FALSE,6.87E+17
Twitter for iPhone,The #SOTU speech is really boring slow lethargic - very hard to watch!,01-13-2016 03:05:10,6659,16976,FALSE,6.87E+17
Twitter for iPhone,Just found out that @tedcruz is spending a fortune on Iowa push polls negative to me. Not nice but OK! New polls are great.,01-13-2016 04:25:04,1940,6025,FALSE,6.87E+17
Twitter for Android,The State Of The Union speech was one of the most boring rambling and non-substantive I have heard in a long time. New leadership fast!,01-13-2016 04:32:24,6500,17695,FALSE,6.87E+17
Twitter for Android,Numerous polls have me beating Hillary Clinton. In a race with her voter turnout will be the highest in U.S. history-I get most new voters!,01-13-2016 05:46:27,2852,8821,FALSE,6.87E+17
Twitter for Android,Iran toys with U.S. days before we pay them ridiculously billions of dollars. Don't release money. We want our hostages back NOW!,01-13-2016 12:09:54,4102,9991,FALSE,6.87E+17
Twitter for iPhone,Thank you for your support last night Iowa! #VoteTrump #Trump2016 #IACaucus #FITN #IAPolitics https://t.co/xRvznATrU7,01-13-2016 13:54:28,1887,5721,FALSE,6.87E+17
Twitter for Android,Sadly there is no way that Ted Cruz can continue running in the Republican Primary unless he can erase doubt on eligibility. Dems will sue!,01-13-2016 14:26:25,2158,5717,FALSE,6.87E+17
Twitter for iPhone,My nomination would increase voter turnout. #VoteTrump #MakeAmericaGreatAgain #Trump2016https://t.co/6kjCaStCjG,01-13-2016 18:20:47,1822,4943,FALSE,6.87E+17
Twitter for iPhone,Thank you! #VoteTrumphttps://t.co/g7eeySMUdl,01-13-2016 18:22:20,1454,3933,FALSE,6.87E+17
Twitter for iPhone,RT @DRUDGE_REPORT: REUTERS ROLLING:  TRUMP 39% CRUZ 14.5% BUSH 10.6% CARSON 9.6% RUBIO 6.7%... MORE... https://t.co/nRhtbzcqP9,01-13-2016 18:23:32,1859,0,TRUE,6.87E+17
Twitter for iPhone,THANK YOU IOWA! Highly respected @OANN @GravisMarketing poll just released. #VoteTrump #IowaCaucus https://t.co/Ecs9XYXaXL,01-13-2016 19:20:30,3294,7888,FALSE,6.87E+17
Twitter for iPhone,THANK YOU! #VoteTrump https://t.co/y7pnMqCs7j,01-13-2016 19:49:43,1855,4530,FALSE,6.87E+17
Twitter for iPhone,.@EricTrump- unbelievable job on #FoxNews with @greta. That was better than I could do! #Trump2016,01-14-2016 00:49:44,1472,5716,FALSE,6.87E+17
Twitter for iPhone,Why does @CNN &amp; @andersoncooper waste airtime by putting failed campaign strategist Stuart Stevens - who lost BIG for Romney - on the show?,01-14-2016 04:25:19,1242,4649,FALSE,6.87E+17
Twitter for iPhone,Iran humiliated the United States with the capture of our 10 sailors. Horrible pictures &amp; images. We are weak. I will NOT forget!,01-14-2016 05:45:41,5312,11827,FALSE,6.88E+17
Twitter for iPhone,Stuart Stevens is a dumb guy who fails @ virtually everything he touches. Romney campaignhis booketc. Why does @andersoncooper put him on?,01-14-2016 05:45:41,1099,4021,FALSE,6.88E+17
Twitter for iPhone,United States looks more and more like a paper tiger. Won't be that way if I win!,01-14-2016 05:46:18,3281,8686,FALSE,6.88E+17
Twitter for iPhone,".@TheBrodyFile: ""Trump's appeal to evangelicals is real"" #Trump2016 https://t.co/Xb04Quqj1M https://t.co/3xdEXZV5Ge",01-14-2016 18:42:53,1363,3708,FALSE,6.88E+17
Twitter for Android,Do you think Iran would have acted so tough if they were Russian sailors? Our country was humiliated.,01-14-2016 19:25:16,4216,9100,FALSE,6.88E+17
Twitter for iPhone,WSJ/NBC Poll: Donald Trump Widens His Lead in Republican Presidential Race. #Trump2016 https://t.co/r2i8FHPjB4,01-14-2016 23:35:00,2926,6789,FALSE,6.88E+17
Twitter for Android,Jeb Bush who did poorly last night in the debate and whose chances of winning are zero just got Graham endorsement. Graham quit at O.,01-15-2016 15:17:09,2867,8984,FALSE,6.88E+17
Twitter for Android,Sen. Lindsey Graham embarrassed himself with his failed run for President and now further embarrasses himself with endorsement of Bush.,01-15-2016 15:30:38,3371,9608,FALSE,6.88E+17
Twitter for iPhone,Top searched candidate by state as seen in the #GOPDebate media filing center. WE WILL MAKE AMERICA GREAT AGAIN! https://t.co/nwKPRmWFNr,01-15-2016 19:45:40,3364,8453,FALSE,6.88E+17
Twitter Web Client,RT @JaniceTaylor912: @DonaldJTrumpJr @Reryan08 @IvankaTrump @EricTrump obvious to all that he raised some GREAT responsible patriotic kid…,01-15-2016 20:28:53,919,0,TRUE,6.88E+17
Twitter for Android,Jusr watched  #HarveyPitt on @TeamCavuto - he was great!,01-15-2016 21:06:40,692,2775,FALSE,6.88E+17
Twitter for Android,.@GeraldoRivera  Thank you Geraldo for your nice words on @oreillyfactor tonight. You are a true champion! Thank @ericbolling - great guy!,01-16-2016 01:41:10,1246,4503,FALSE,6.88E+17
Twitter for Android,Just got back from Iowa - had a great time with amazing people. Will be back soon!,01-16-2016 01:45:55,1303,5399,FALSE,6.88E+17
Twitter for Android,.@oreillyfactor please explain to the very dumb and failing @glennbeck that I supported John McCain big league in 2008 not Obama!,01-16-2016 02:02:12,2503,6393,FALSE,6.88E+17
Twitter for Android,.@FrankLuntz is a total clown. Has zero credibility!  @FoxNews  @megynkelly,01-16-2016 02:18:52,1623,4854,FALSE,6.88E+17
Twitter for Android,More radical Islam attacks today - it never ends! Strengthen the borders we must be vigilant and smart. No more being politically correct.,01-16-2016 02:47:22,7362,15754,FALSE,6.88E+17
Twitter for Android,Ted Cruz was born in Canada and was a Canadian citizen until 15 months ago. Lawsuits have just been filed with more to follow. I told you so,01-16-2016 11:40:13,3948,8377,FALSE,6.88E+17
Twitter for Android,"Ted Cruz said he ""didn't know"" that he was a Canadian Citizen. He also FORGOT to file his Goldman Sachs Million $ loan papers.Not believable",01-16-2016 11:49:02,2693,6381,FALSE,6.88E+17
Twitter for Android,Was there another loan that Ted Cruz FORGOT to file. Goldman Sachs owns him he will do anything they demand. Not much of a reformer!,01-16-2016 11:52:46,2176,5295,FALSE,6.88E+17
Twitter for Android,The Ted Cruz wiseguy apology to the people of New York is a disgrace. Remember his wife's employer and his lender is located there!,01-16-2016 12:12:45,2348,5856,FALSE,6.88E+17
Twitter for Android,Oh no just reported that Ted Cruz didn't report another loan this one from Citi. Wow no wonder banks do so well in the U.S. Senate.,01-16-2016 12:17:32,2883,6853,FALSE,6.88E+17
Twitter for Android,"Based on the fact that Ted Cruz was born in Canada and is therefore a ""natural born Canadian"" did he borrow unreported loans from C banks?",01-16-2016 12:23:00,2196,5580,FALSE,6.88E+17
Twitter for Android,Ted Cruz purposely and illegally did not list on his personal disclosure form personally guaranteed loans from banks. They own him!,01-16-2016 13:31:10,2299,5677,FALSE,6.88E+17
Twitter for iPhone,Great new numbers. Thank you! #MakeAmericaGreatAgain #Trump2016https://t.co/Z1lQdxQvRL https://t.co/GFYNUWWCYn,01-16-2016 13:42:54,3546,8690,FALSE,6.88E+17
Twitter for iPhone,Ted is the ultimate hypocrite. Says one thing for money does another for votes. https://t.co/hxdfy0mjVw,01-16-2016 16:11:28,2782,5462,FALSE,6.88E+17
Twitter for iPhone,If Ted Cruz is so opposed to gay marriage why did he accept money from people who espouse gay marriage?,01-16-2016 18:21:03,2405,5834,FALSE,6.88E+17
Twitter for iPhone,Everybody that loves the people of New York and all they have been thru should get hypocrites like Ted Cruz out of politics!,01-16-2016 18:22:40,2127,5721,FALSE,6.88E+17
Twitter for iPhone,When will @TedCruz give all the New York based campaign contributions back to the special interests that control him.,01-16-2016 18:23:26,2084,5286,FALSE,6.88E+17
Twitter for iPhone,Greatly dishonest of @TedCruz to file a financial disclosure form &amp; not list his lending banks- then pretend he is going to clean up Wall St,01-16-2016 18:26:54,2554,6095,FALSE,6.88E+17
Twitter for iPhone,Departing NH now- great morning with record crowd in Portsmouth- in a snow storm! Thank you! https://t.co/m98wooUwsG https://t.co/izBMhEZolh,01-16-2016 18:31:39,1868,6073,FALSE,6.88E+17
Twitter for iPhone,Wow! Ted Cruz received $487K in campaign contributions $11M from a NY hedge fund mogul &amp; $1M low int. loan from Goldman Sachs. Hypocrite,01-16-2016 19:32:40,3880,7919,FALSE,6.88E+17
Twitter for iPhone,Is this the New York that Ted Cruz is talking about &amp; demeaning? https://t.co/rYGX9vazku,01-16-2016 19:39:31,3977,9720,FALSE,6.88E+17
Twitter for iPhone,Interesting read from Peggy Noonan. https://t.co/jAxIy8xseM,01-17-2016 00:25:49,2920,6413,FALSE,6.89E+17
