,text,created_at,sin,cos,predicted
1058,low energy jeb bush endorsed man truly hate lyin’ ted cruz. honestly can’t blame jeb drove oblivion!,19,-0.8878852184023756,0.4600650377311516,0
1059,watched hillary deliver prepackaged speech terror. she’s office fighting terror 20 years- look are!,19,-0.8878852184023756,0.4600650377311516,0
1060,best far fighting terror. i’m one right beginning &amp; lyin’ ted &amp; others copying me.,19,-0.8878852184023756,0.4600650377311516,0
1077,endorsement lyin' ted cruz-,16,-0.9422609221188204,-0.3348796121709864,0
1135,national border patrol council (nbpc) said open border biggest physical &amp; economic threat facing american people!,14,-0.6310879443260528,-0.7757112907044198,0
1136,1st time american history america’s 16500 border patrol agent issue presidential primary endorsement—me! thank you.,14,-0.6310879443260528,-0.7757112907044198,0
1137,anybody like lyin' ted?,18,-0.979084087682323,0.2034560130526333,0
1139,must build great wall mexico united states!,21,-0.5195839500354336,0.8544194045464886,1
1140,believe ted cruz killing country trade long put wisconsin ad talking trade?,21,-0.5195839500354336,0.8544194045464886,1
1177,great back home! looking forward great rally tonight bethpage long island!,16,-0.9422609221188204,-0.3348796121709864,0
1181,ted cruz attacked new yorkers new york values- forget!,19,-0.8878852184023756,0.4600650377311516,0
1183,jennifer terrific person.,19,-0.8878852184023756,0.4600650377311516,0
1184,look like right nato. doubt.,19,-0.8878852184023756,0.4600650377311516,0
1185,nobody beat national security.,20,-0.730835964278124,0.6825531432186542,0
1186,“donald trump—the disrupter” air @foxnews saturday night sunday night 8 pm et. anchored @bretbaier. @johnrobertsfox,21,-0.5195839500354336,0.8544194045464886,0
1196,happening country—great people disenfranchised bypoliticians. repub party trouble!,15,-0.816969893010442,-0.5766803221148672,1
1197,colorado trump delegate scratched ballot gop convention,20,-0.730835964278124,0.6825531432186542,0
1239,new york make america great again!,17,-0.9976687691905393,-0.06824241336467046,0
1240,lyin’ ted cruz even voted superstorm sandy aid september 11th help. many new yorkers devastated. cruz hate new york!,21,-0.5195839500354336,0.8544194045464886,1
1241,#makeamericagreatagain #nyprimaryhttps://t.co/awow5pyn7n,3,0.730835964278124,0.6825531432186541,0
1247,#icymi: #trump2016 closing speech inbuffalo new york!#votetrumpny,17,-0.9976687691905393,-0.06824241336467046,0
1248,let go america! time take backour country #makeamericagreatagainwatch video &amp; go#votetrump!,17,-0.9976687691905393,-0.06824241336467046,0
1249,#makeamericagreatagain#trump2016,18,-0.979084087682323,0.2034560130526333,0
1250,house task force onurgent fiscal issue call- america needed help?,19,-0.8878852184023756,0.4600650377311516,0
1251,1988 oprah- discussing would never rule run #potus.#trump2016 #votetrumpny #primaryday,19,-0.8878852184023756,0.4600650377311516,0
1252,discussing #newyorkvaluesin buffalo last night- eve #nyprimary.lets go ny! #votetrump,20,-0.730835964278124,0.6825531432186542,0
1253,rt @donaldjtrumpjr: message donald j. trump new york!,21,-0.5195839500354336,0.8544194045464886,0
1254,poll close 3 hours! everyone get vote!#trump2016 #makeamericagreatagainhttps://t.co/eufxeffu0d,22,-0.2697967711570252,0.962917287347799,0
1258,make america great again!,3,0.730835964278124,0.6825531432186541,1
1261,#trump360 watch 360 video speech last night trump tower-,16,-0.9422609221188204,-0.3348796121709864,0
1280,establishment special interest absolutely killing country. stop now:,19,-0.8878852184023756,0.4600650377311516,0
1295,kasich announced want people indiana vote him. typical politician - can't make deal work.,16,-0.9422609221188204,-0.3348796121709864,0
1296,way great state rhode island- big rally. pennsylvania rest day night!,16,-0.9422609221188204,-0.3348796121709864,1
1306,bernie sander treated terribly democrats—both delegate &amp; otherwise. show run independent!,16,-0.9422609221188204,-0.3348796121709864,0
1308,bad new york times—the inaccurate coverage constantly. always trying belittle. paper lost way!,17,-0.9976687691905393,-0.06824241336467046,0
1339,heading rally bobby now! see soon!https://t.co/dwssoectzn,16,-0.9422609221188204,-0.3348796121709864,0
1397,many report attending alvarez/khan fight weekend vegas. totally untrue! unfortunately plans.,14,-0.6310879443260528,-0.7757112907044198,1
1398,interviewed @bretbaier @specialreport 6pm et tonight @foxnews,18,-0.979084087682323,0.2034560130526333,0
1400,bernie sander treated terribly democrats—both delegate &amp; otherwise. show &amp; run independent.,19,-0.8878852184023756,0.4600650377311516,0
1409,thank teacher across america! become potus make education far important component life now.,16,-0.9422609221188204,-0.3348796121709864,0
1439,crooked hillary clinton say got primary vote donald trump. 17 people beat—she one!,16,-0.9422609221188204,-0.3348796121709864,0
1440,1 person running primary like hillary clinton would gotten 10 million vote did!,16,-0.9422609221188204,-0.3348796121709864,0
1441,set time record primary vote republican party --despite compete 17 people!,16,-0.9422609221188204,-0.3348796121709864,1
1442,lowering tax far candidate. negotiated increase congress proposal would still lower current!,17,-0.9976687691905393,-0.06824241336467046,0
1443,rt @greta: interesting poll result far (and go vote,20,-0.730835964278124,0.6825531432186542,0
1444,"thank jason greenblatt @jasondovesq ""for children: let's elect donald trump""",20,-0.730835964278124,0.6825531432186542,0
1453,"via @jtanews jason greenblatt ""donald trump visionary talent country needs"" @jasondovesq",15,-0.816969893010442,-0.5766803221148672,0
1454,look much forward meeting w/paul ryan &amp; gop party leadership thurs dc. together beat dems levels!,16,-0.9422609221188204,-0.3348796121709864,0
1455,great nebraska last week. today big day--get vote!,17,-0.9976687691905393,-0.06824241336467046,1
1456,hillary bad judgment!,17,-0.9976687691905393,-0.06824241336467046,0
1457,clinton spend million negative ad &amp; can’t tell truth husband? don’t feel sorry crooked hillary!,19,-0.8878852184023756,0.4600650377311516,0
1458,rt @danscavino: ohio general electiondonald trump vs. hillary clinton#makeamericagreatagain #trump2016,20,-0.730835964278124,0.6825531432186542,0
1459,rt @danscavino: louisiana general electiondonald trump vs. hillary clinton#makeamericagreatagain #trump2016,20,-0.730835964278124,0.6825531432186542,0
1464,goofy elizabeth warren one least effective senator entire u.s. senate. done nothing!,14,-0.6310879443260528,-0.7757112907044198,1
1465,goofy elizabeth warren didn’t gut run potus. phony native american heritage stop vp cold.,17,-0.9976687691905393,-0.06824241336467046,0
1468,thanks piers.,19,-0.8878852184023756,0.4600650377311516,0
1469,people massachusetts found ineffective senator goofy elizabeth warren would lose!,19,-0.8878852184023756,0.4600650377311516,0
1470,goofy elizabeth warren using woman’s card like friend crooked hillary. see dumb tweet “when woman stand you…”,19,-0.8878852184023756,0.4600650377311516,0
1471,native american senator goofy elizabeth warren couldn’t care le american worker…does nothing help!,20,-0.730835964278124,0.6825531432186542,0
1472,goofy elizabeth warren lied say want abolish federal minimum wage. see media—asking increase!,20,-0.730835964278124,0.6825531432186542,0
1473,isn’t funny failed senator like goofy elizabeth warren spend whole day tweeting trump &amp; get nothing done senate?,20,-0.730835964278124,0.6825531432186542,0
1475,goofy elizabeth warren we’d job america—she doesn’t clue.,21,-0.5195839500354336,0.8544194045464886,0
1479,.@thehill story &amp; carbon tax absolutely incorrect—it opposite. support endorse carbon tax!,18,-0.979084087682323,0.2034560130526333,0
1480,incredible honor receive endorsement person ihave tremendous respect for. thank sheldon!,20,-0.730835964278124,0.6825531432186542,0
1496,@nytimes dishonest. hit piece cover story yesterday blown rowanne brewer said lie!,13,-0.39840108984624156,-0.9172113015054529,1
1497,wow rowanne brewer prominently depicted woman failing @nytimes story yesterday @foxandfriends saying time lied,13,-0.39840108984624156,-0.9172113015054529,1
1499,coming forward today woman central failing @nytimes hit piece exposed article fraud!,15,-0.816969893010442,-0.5766803221148672,0
1500,"thank anthony @scaramucci @wsj ""the entrepreneur's case trump""",18,-0.979084087682323,0.2034560130526333,0
1502,failing @nytimes greatly embarrassed totally dishonest story relationship women.,22,-0.2697967711570252,0.962917287347799,0
1503,wonder @nytimes failing—who believe write false malicious &amp; libelous story me.,22,-0.2697967711570252,0.962917287347799,0
1504,50 woman interviewed @nytimes yet wrote 6. that’s many positive statements.,22,-0.2697967711570252,0.962917287347799,1
1505,writer proven false story @nytimes michael barbaro interviewed cbs morning unable respond.,22,-0.2697967711570252,0.962917287347799,1
1518,look forward watching @megynkelly tonight 8 pm et. interesting see treat me—i think fair.,15,-0.816969893010442,-0.5766803221148672,1
1533,clinton supporter @alisonforky declare crooked hillary winner ky ap even called race?,16,-0.9422609221188204,-0.3348796121709864,0
1540,quality woman rowanne brewer lane exposed @nytimes disgusting fraud? thank rowanne.,17,-0.9976687691905393,-0.06824241336467046,0
1547,call unity jason greenblatt @jasondovesq,14,-0.6310879443260528,-0.7757112907044198,0
1576,hillary really protecting women?,15,-0.816969893010442,-0.5766803221148672,0
1577,obama’s va secretary said measurewait times. hillary say va problem ‘widespread.’ take care ofour vets!,17,-0.9976687691905393,-0.06824241336467046,0
1585,great new book written crooked hillary. read &amp; never able vote her. @ed_klein,14,-0.6310879443260528,-0.7757112907044198,1
1586,wonderfully written article concerning israel @jasondovesq,15,-0.816969893010442,-0.5766803221148672,0
1587,suggestion dishonest media-,15,-0.816969893010442,-0.5766803221148672,0
1607,today together republican nomination president!,22,-0.2697967711570252,0.962917287347799,1
1696,thank diamond silk!,16,-0.9422609221188204,-0.3348796121709864,0
1697,rt @ivankatrump: next project pretty amazing…!xx ivanka,16,-0.9422609221188204,-0.3348796121709864,0
1698,see said nato obsolete terrorism protection made change without giving credit.https://t.co/srcf1h3rjg,21,-0.5195839500354336,0.8544194045464886,0
1712,rt @seanhannity: graph: @realdonaldtrump's historic 13 million primary vote compared every gop nominee since 1908,21,-0.5195839500354336,0.8544194045464886,0
1717,obama endorsed crooked hillary. want four year obama—but nobody else does!,18,-0.979084087682323,0.2034560130526333,1
1720,thank roseanne much appreciated.,21,-0.5195839500354336,0.8544194045464886,0
1725,donald trump plan continue goplegacy leading women’s civil right racist sexist democrat,15,-0.816969893010442,-0.5766803221148672,0
1728,rarely agree president obama- however 100% correct crooked hillary clinton. great ad!https://t.co/aovvszfaw3,16,-0.9422609221188204,-0.3348796121709864,0
1765,thank lgbt community! fight hillary brings people threaten freedom beliefs.,17,-0.9976687691905393,-0.06824241336467046,0
1808,making big speech tomorrow discus failed policy bad judgment crooked hillary clinton.,14,-0.6310879443260528,-0.7757112907044198,1
1809,hillary say election judgment. right. judgement killed thousand unleashed isi wrecked economy.,16,-0.9422609221188204,-0.3348796121709864,0
1810,hillary clinton surged trade deficit china 40% assecretary state costing american million jobs.,16,-0.9422609221188204,-0.3348796121709864,0
1811,hillary run economy can't even send email without putting entire nation risk?,16,-0.9422609221188204,-0.3348796121709864,0
1813,obama-clinton inherited $10t debt turned nearly $20t. bankrupted…,16,-0.9422609221188204,-0.3348796121709864,0
1815,hillary took money favor regime enslave woman murder gays.,17,-0.9976687691905393,-0.06824241336467046,0
1816,want know hillary clinton's honesty &amp; judgment ask family ambassador stevens.,17,-0.9976687691905393,-0.06824241336467046,0
1817,hillary defrauded america secy state. used personal hedge fund get rich! corrupt dangerous dishonest.,17,-0.9976687691905393,-0.06824241336467046,0
1818,interviewed @loudobbs tonight @foxbusiness 7pm et,20,-0.730835964278124,0.6825531432186542,0
1820,hillary say thing can't change. say change. choice americanism corrupt globalism. #imwithyou,19,-0.8878852184023756,0.4600650377311516,0
1822,#imwithyou,21,-0.5195839500354336,0.8544194045464886,0
1827,"rt @foxbusiness: .@jerryjrfalwell: ""i impressed [@realdonaldtrump's] speech yesterday. best i've ever seen him."" https…",17,-0.9976687691905393,-0.06824241336467046,0
1828,sc kept u safe exec amnesty--for now. hillary pledged expand taking job hispanic &amp; african-american workers.,18,-0.979084087682323,0.2034560130526333,0
1829,hillary clinton’s open border tearing american family apart. going make country safe americans. #imwithyou,18,-0.979084087682323,0.2034560130526333,0
1830,obama &amp; clinton stop meeting special interest &amp; start meeting victim illegal immigration.,18,-0.979084087682323,0.2034560130526333,0
1831,immigration i’m consulting immigration officers&amp; wage-earners. hillary clinton consulting wall street.,18,-0.979084087682323,0.2034560130526333,0
1832,inner city left behind. never resource support people open border.,19,-0.8878852184023756,0.4600650377311516,0
1833,rt @scottadamssays: trump's speech today best persuasion ever seen. game over. running unopposed:,19,-0.8878852184023756,0.4600650377311516,0
1834,cnn totally biased favor clinton apologize. knew wrong.,19,-0.8878852184023756,0.4600650377311516,0
1835,another cnn lie. clinton news network losing credibility. i’m watching much anymore.,19,-0.8878852184023756,0.4600650377311516,0
1836,read full statement supreme court's executive amnesty decision #imwithyou,20,-0.730835964278124,0.6825531432186542,0
1837,meet amazing mother whose letter read speech. lost son policy supported clinton.,21,-0.5195839500354336,0.8544194045464886,0
1875,benghazi another hillary clinton failure. justnever seems work way supposed clinton.,20,-0.730835964278124,0.6825531432186542,0
1876,hillary clinton’s presidency would catastrophic forthe future country. ill-fit bad judgment.,20,-0.730835964278124,0.6825531432186542,1
1877,yet another terrorist attack time turkey. willthe world ever realize going on? sad.,21,-0.5195839500354336,0.8544194045464886,0
1878,must everything possible keep horrible terrorism outside united states.,21,-0.5195839500354336,0.8544194045464886,0
1889,rt @drudge_report: 43-39,14,-0.6310879443260528,-0.7757112907044198,0
1890,story hillary never change.,14,-0.6310879443260528,-0.7757112907044198,1
1891,new book @ericbolling absolutely terrific must read! #wakeupamerica,17,-0.9976687691905393,-0.06824241336467046,0
1898,#throwbackthursday #trump2016https://t.co/gftspbvixe,2,0.5195839500354336,0.8544194045464886,0
1945,system rigged. general petraeus got trouble far less. unfair! usual bad judgment.,15,-0.816969893010442,-0.5766803221148672,1
1946,fbi director said crooked hillary compromised national security. charges. wow! #riggedsystem,15,-0.816969893010442,-0.5766803221148672,1
1947,looking forward meeting @senbobcorker little while. traveling north carolina together today.,18,-0.979084087682323,0.2034560130526333,0
1962,convention speaker schedule released tomorrow. let today devoted crooked hillary rigged system live.,15,-0.816969893010442,-0.5766803221148672,1
2032,donate today help make america great again! help stop crooked hillary clinton!,20,-0.730835964278124,0.6825531432186542,1
2033,donate today help make america great again! help stop crooked hillary clinton!,21,-0.5195839500354336,0.8544194045464886,1
2051,looking forward convention tonight watch wonderful speaker including wife melania. place look beautiful!,17,-0.9976687691905393,-0.06824241336467046,0
2064,good news melania's speech got publicity history politics especially believe press good press!,15,-0.816969893010442,-0.5766803221148672,0
2065,medium spending time forensic analysis melania's speech fbi spent hillary's emails.,15,-0.816969893010442,-0.5766803221148672,1
2067,urgent: we’ve announced $2 million fundraising goal tonight. please stand us!,18,-0.979084087682323,0.2034560130526333,0
2071,thank @ingrahamangle! #americafirst,1,0.2697967711570243,0.9629172873477992,0
2073,#texttrump88022 exclusive @realdonaldtrump updates! make america great again!,1,0.2697967711570243,0.9629172873477992,1
2074,thank @scottwalker! #americafirst #rncincle,1,0.2697967711570243,0.9629172873477992,0
2075,limited opportunity get official trump gear! shop now!,2,0.5195839500354336,0.8544194045464886,0
2076,limited opportunity get official trump gear! shop now!,2,0.5195839500354336,0.8544194045464886,0
2083,great job @erictrump! proud you!#americafirst #rncincle,4,0.8878852184023752,0.4600650377311522,0
2086,limited opportunity get official trump gear! shop now!,14,-0.6310879443260528,-0.7757112907044198,0
2088,great job @ivankatrump! #rncinclehttps://t.co/swsake11f0,14,-0.6310879443260528,-0.7757112907044198,0
2089,we’ve set new goal: raise $4 million grassroots supporter midnight!,16,-0.9422609221188204,-0.3348796121709864,0
2090,we’ve set new goal: raise $4 million grassroots supporter midnight!,16,-0.9422609221188204,-0.3348796121709864,0
2092,i’m you! work hard never let down. make america great again!,18,-0.979084087682323,0.2034560130526333,0
2093,i’m you! work hard never let down. make america great again!,19,-0.8878852184023756,0.4600650377311516,0
2095,watch 360 video live podium! #rncincle #trumpiswithyou #makeamericagreatagain,2,0.5195839500354336,0.8544194045464886,0
2136,thank you! #makeamericagreatagain,12,-0.1361666490962464,-0.9906859460363308,0
2166,i’m you! work hard never let down. make america great again!,23,-2.4492935982947064e-16,1.0,1
2167,i'm you! work hard never let down. make america great again!,23,-2.4492935982947064e-16,1.0,1
2168,i'm you! work hard never let down. make america great again!,23,-2.4492935982947064e-16,1.0,1
2186,president bring job back get wage american need most.,21,-0.5195839500354336,0.8544194045464886,0
2192,president obama spoke last night world doesn’t exist. 70% people think country going wrong direction. #dnc,15,-0.816969893010442,-0.5766803221148672,1
2193,rt @drudge_report: obama refers 119 time hillary nominating speech...,15,-0.816969893010442,-0.5766803221148672,0
2194,rt @piersmorgan: trump make funny obvious joke russia going hillary's email &amp; u.s. medium go insane fury.he play t…,15,-0.816969893010442,-0.5766803221148672,0
2196,bernie caved!,18,-0.979084087682323,0.2034560130526333,0
2202,president fix rigged system answer american people!,21,-0.5195839500354336,0.8544194045464886,1
2204,write $1 million check campaign hit million-dollar end-of-month goal!,2,0.5195839500354336,0.8544194045464886,0
2206,write $1 million check campaign hit million-dollar end-of-month goal!,3,0.730835964278124,0.6825531432186541,0
2230,even bill tired lie sad!,18,-0.979084087682323,0.2034560130526333,0
2245,write $2 million check campaign hit million-dollar end-of-month goal!,17,-0.9976687691905393,-0.06824241336467046,0
2260,crushed original goal! write $2 million check campaign hit end-of-month goal!,5,0.9790840876823229,0.20345601305263375,0
2291,"limited edition signed copy book ""the art deal"" donation $184 more. get today!",15,-0.816969893010442,-0.5766803221148672,0
2292,"limited edition signed copy book ""the art deal"" donation $184 more. get today!",15,-0.816969893010442,-0.5766803221148672,0
2293,"limited edition signed copy book ""the art deal"" donation $184 more. get today!",15,-0.816969893010442,-0.5766803221148672,0
2321,counting help defeat hillary clinton cronies. let's make america great again!,15,-0.816969893010442,-0.5766803221148672,0
2322,i'm you. work hard never let down. make america great again!,16,-0.9422609221188204,-0.3348796121709864,0
2323,i'm you. work hard never let down. make america great again!,16,-0.9422609221188204,-0.3348796121709864,0
2324,i'm you. work hard never let down. make america great again!,16,-0.9422609221188204,-0.3348796121709864,0
2325,need support get white house defeat #crookedhillary. let's make america great again!,16,-0.9422609221188204,-0.3348796121709864,0
2326,establishment special interest absolutely killing country. must put #americafirst.,16,-0.9422609221188204,-0.3348796121709864,0
2327,president fix rigged system answer american people!,17,-0.9976687691905393,-0.06824241336467046,0
2328,counting help defeat hillary clinton cronies. let's make america great again!,17,-0.9976687691905393,-0.06824241336467046,0
2329,i'm you. work hard never let down. make america great again!,17,-0.9976687691905393,-0.06824241336467046,0
2330,need support get white house defeat #crookedhillary. let's make america great again!,17,-0.9976687691905393,-0.06824241336467046,0
2331,establishment special interest absolutely killing country. must put #americafirst.,18,-0.979084087682323,0.2034560130526333,0
2332,president fix rigged system answer american people!,18,-0.979084087682323,0.2034560130526333,0
2333,counting help defeat hillary clinton cronies. let's make america great again!,18,-0.979084087682323,0.2034560130526333,0
2334,need support get white house defeat #crookedhillary. let's make america great again!,18,-0.979084087682323,0.2034560130526333,0
2335,i'm you. work hard never let down. make america great again!,18,-0.979084087682323,0.2034560130526333,0
2336,establishment special interest absolutely killing country. must put #americafirst.,18,-0.979084087682323,0.2034560130526333,0
2337,president fix rigged system answer american people!,18,-0.979084087682323,0.2034560130526333,0
2338,need support get white house defeat #crookedhillary. let's make america great again!,18,-0.979084087682323,0.2034560130526333,0
2339,i'm you. work hard never let down. make america great again!,18,-0.979084087682323,0.2034560130526333,0
2340,establishment special interest absolutely killing country. must put #americafirst.,18,-0.979084087682323,0.2034560130526333,0
2341,president fix rigged system answer american people!,18,-0.979084087682323,0.2034560130526333,0
2345,president fix rigged system answer american people!,21,-0.5195839500354336,0.8544194045464886,1
2346,i'm you! work hard never let down. make america great again!,21,-0.5195839500354336,0.8544194045464886,1
2347,establishment special interest absolutely killing country. must put #americafirst.,21,-0.5195839500354336,0.8544194045464886,0
2349,let hillary clinton again!#trumppence16https://t.co/1mgkpnzpkf,23,-2.4492935982947064e-16,1.0,0
2356,"limited edition signed copy book ""the art deal"" donation $184 more. get today!",18,-0.979084087682323,0.2034560130526333,0
2357,"limited edition signed copy book ""the art deal"" donation $184 more. get today!",18,-0.979084087682323,0.2034560130526333,0
2384,act chance private lunch eric trump &amp; tour campaign hq trump tower nyc.,15,-0.816969893010442,-0.5766803221148672,0
2385,act chance private lunch eric trump &amp; tour campaign hq trump tower nyc.,15,-0.816969893010442,-0.5766803221148672,0
2386,act chance private lunch eric trump &amp; tour campaign hq trump tower nyc.,15,-0.816969893010442,-0.5766803221148672,0
2387,act chance private lunch eric trump &amp; tour campaign hq trump tower nyc.,15,-0.816969893010442,-0.5766803221148672,0
2388,act chance private lunch eric trump &amp; tour campaign hq trump tower nyc.,15,-0.816969893010442,-0.5766803221148672,0
